字词	拼音	词频
选出	xuan chu	857
率领	shuai ling	857
隐瞒	yin man	857
武林	wu lin	857
我是个	wo shi ge	857
中共中央	zhong gong zhong yang	857
表单	biao dan	856
这台	zhe tai	856
深远	shen yuan	856
生于	sheng yu	856
苏宁	su ning	856
随笔	sui bi	856
创始人	chuang shi ren	856
创造性	chuang zao xing	856
侠	xia	855
儒	ru	855
宝钢	bao gang	855
联网	lian wang	855
两部	liang bu	855
横向	heng xiang	855
会儿	hui er	855
万多	wan duo	855
发改委	fa gai wei	855
这两种	zhe liang zhong	855
闭	bi	854
扭	niu	854
决	jue	854
骂我	ma wo	854
当晚	dang wan	854
都已	dou yi	854
恋情	lian qing	854
吼吼	hou hou	854
竟是	jing shi	854
下巴	xia ba	854
十多	shi duo	854
人来	ren lai	854
往返	wang fan	854
文科	wen ke	854
工程建设	gong cheng jian she	854
叉	cha	853
癌	ai	853
不含	bu han	853
地盘	di pan	853
地形	di xing	853
耐力	nai li	853
揭露	jie lu	853
蒸气	zheng qi	853
坐了	zuo le	853
赢利	ying li	853
看完了	kan wan le	853
泵	beng	852
交钱	jiao qian	852
写成	xie cheng	852
速率	su lv	852
炎症	yan zheng	852
土耳其	tu er qi	852
一首歌	yi shou ge	852
不同程度	bu tong cheng du	852
招商银行	zhao shang yin hang	852
这个家伙	zhe ge jia huo	852
捷	jie	851
办好	ban hao	851
朦胧	meng long	851
连连	lian lian	851
坏蛋	huai dan	851
要来	yao lai	851
按下	an xia	851
每一天	mei yi tian	851
军官	jun guan	850
初次	chu ci	850
屋顶	wu ding	850
生产基地	sheng chan ji di	850
妆	zhuang	849
几多	ji duo	849
无不	wu bu	849
安利	an li	849
来形容	lai xing rong	849
诸葛亮	zhu ge liang	849
彼	bi	847
奔跑	ben pao	847
电容	dian rong	847
理工	li gong	847
刚来	gang lai	847
很美	hen mei	847
教导	jiao dao	847
趋于	qu yu	847
转动	zhuan dong	847
支配	zhi pei	847
饲养	si yang	847
所长	suo zhang	847
药水	yao shui	847
也罢	ye ba	847
意境	yi jing	847
王者	wang zhe	847
动不动	dong bu dong	847
笑着说	xiao zhe shuo	847
该怎么办	gai zen me ban	847
适	shi	846
判定	pan ding	846
瀑布	pu bu	846
弥漫	mi man	846
摩托	mo tuo	846
但其	dan qi	846
浪潮	lang chao	846
口头	kou tou	846
怀抱	huai bao	846
就得	jiu dei	846
招牌	zhao pai	846
税率	shui lv	846
乐器	yue qi	846
我一	wo yi	846
无尽	wu jin	846
泛	fan	845
爬山	pa shan	845
天后	tian hou	845
近乎	jin hu	845
专卖	zhuan mai	845
只看	zhi kan	845
所占	suo zhan	845
演的	yan de	845
饮用	yin yong	845
局局长	ju ju zhang	845
一夜情	yi ye qing	845
非常感谢	fei chang gan xie	845
基金公司	ji jin gong si	845
信息服务	xin xi fu wu	845
功课	gong ke	844
回升	hui sheng	844
悄然	qiao ran	844
新房	xin fang	844
侦查	zhen cha	844
长的	chang de	844
常务	chang wu	844
王道	wang dao	844
五六	wu liu	844
禽流感	qin liu gan	844
学校里	xue xiao li	844
瘤	liu	843
龚	gong	843
班上	ban shang	843
趴在	pa zai	843
盘子	pan zi	843
多为	duo wei	843
环球	huan qiu	843
职员	zhi yuan	843
诛仙	zhu xian	843
纯真	chun zhen	843
羽毛	yu mao	843
动物园	dong wu yuan	843
快速增长	kuai su zeng zhang	843
盯	ding	842
估算	gu suan	842
吉祥	ji xiang	842
降温	jiang wen	842
器件	qi jian	842
小屋	xiao wu	842
长虹	chang hong	842
而后	er hou	842
真不知道	zhen bu zhi dao	842
非凡	fei fan	841
担当	dan dang	841
仙剑	xian jian	841
是靠	shi kao	841
十万	shi wan	841
妖精	yao jing	841
多方面	duo fang mian	841
默	mo	840
炖	dun	840
忌	ji	840
纵	zong	840
被盗	bei dao	840
便可	bian ke	840
附属	fu shu	840
矩阵	ju zhen	840
想在	xiang zai	840
星空	xing kong	840
真假	zhen jia	840
振兴	zhen xing	840
汕头	shan tou	840
柔和	rou he	840
散文	san wen	840
仅提供	jin ti gong	840
逾	yu	839
风波	feng bo	839
即是	ji shi	839
稀饭	xi fan	839
仍将	reng jiang	839
原型	yuan xing	839
贵公司	gui gong si	839
可以考虑	ke yi kao lv	839
绣	xiu	838
白菜	bai cai	838
繁忙	fan mang	838
太监	tai jian	838
特权	te quan	838
交纳	jiao na	838
学过	xue guo	838
摧毁	cui hui	838
粤语	yue yu	838
增长率	zeng zhang lv	838
悬	xuan	837
派人	pai ren	837
平日	ping ri	837
马桶	ma tong	837
门店	men dian	837
流域	liu yu	837
国防	guo fang	837
筷子	kuai zi	837
嫌疑	xian yi	837
尺度	chi du	837
商贸	shang mao	837
弱势	ruo shi	837
一页	yi ye	837
为期	wei qi	837
我县	wo xian	837
来实现	lai shi xian	837
加起来	jia qi lai	837
宰	zai	836
迷信	mi xin	836
耕地	geng di	836
开到	kai dao	836
怀着	huai zhe	836
胶囊	jiao nang	836
也太	ye tai	836
辽宁省	liao ning sheng	836
面貌	mian mao	835
发过	fa guo	835
对立	dui li	835
听众	ting zhong	835
老天	lao tian	835
鸽子	ge zi	835
课本	ke ben	835
口腔	kou qiang	835
沼泽	zhao ze	835
上也	shang ye	835
武警	wu jing	835
五千	wu qian	835
二年	er nian	835
埃	ai	834
老化	lao hua	834
归纳	gui na	834
之作	zhi zuo	834
窗帘	chuang lian	834
氧化	yang hua	834
不论是	bu lun shi	834
打交道	da jiao dao	834
小日本	xiao ri ben	834
中科院	zhong ke yuan	834
电话号码	dian hua hao ma	834
辰	chen	833
买菜	mai cai	833
分化	fen hua	833
南非	nan fei	833
驾照	jia zhao	833
神舟	shen zhou	833
做做	zuo zuo	833
谈不上	tan bu shang	833
那	nei	832
别个	bie ge	832
妹子	mei zi	832
伦理	lun li	832
空前	kong qian	832
政党	zheng dang	832
重重	chong chong	832
食欲	shi yu	832
用法	yong fa	832
顽强	wan qiang	832
罐	guan	831
大二	da er	831
拦截	lan jie	831
竣工	jun gong	831
就给	jiu gei	831
众生	zhong sheng	831
说来	shuo lai	831
增进	zeng jin	831
无穷	wu qiong	831
技术支持	ji shu zhi chi	831
管辖	guan xia	830
解散	jie san	830
憧憬	chong jing	830
投资人	tou zi ren	830
以人为本	yi ren wei ben	830
光学	guang xue	829
国土	guo tu	829
红旗	hong qi	829
曲子	qu zi	829
施行	shi xing	829
手腕	shou wan	829
暗恋	an lian	829
奥迪	ao di	829
不理我	bu li wo	829
正因为	zheng yin wei	829
奈	nai	828
序	xu	828
洒	sa	828
盼望	pan wang	828
美眉	mei mei	828
短缺	duan que	828
功力	gong li	828
奇妙	qi miao	828
实实在在	shi shi zai zai	828
叻	le	827
开花	kai hua	827
急剧	ji ju	827
兼顾	jian gu	827
小熊	xiao xiong	827
展出	zhan chu	827
二战	er zhan	827
伏	fu	826
执	zhi	826
粉色	fen se	826
大巴	da ba	826
她不	ta bu	826
通风	tong feng	826
轮到	lun dao	826
还很	hai hen	826
会用	hui yong	826
早起	zao qi	826
足协	zu xie	826
无一	wu yi	826
杭州市	hang zhou shi	826
云南省	yun nan sheng	826
建设项目	jian she xiang mu	826
鼎	ding	825
幼	you	825
反响	fan xiang	825
动摇	dong yao	825
他和	ta he	825
退回	tui hui	825
据此	ju ci	825
写道	xie dao	825
阵营	zhen ying	825
酸奶	suan nai	825
中小学	zhong xiao xue	825
中石化	zhong shi hua	825
工商银行	gong shang yin hang	825
所有人都	suo you ren dou	825
卵	luan	824
莹	ying	824
八个	ba ge	824
办案	ban an	824
薄弱	bo ruo	824
每位	mei wei	824
推介	tui jie	824
虐待	nue dai	824
历经	li jing	824
急于	ji yu	824
胸前	xiong qian	824
传销	chuan xiao	824
这家伙	zhe jia huo	824
啥意思	sha yi si	824
什么原因	shen me yuan yin	824
认为自己	ren wei zi ji	824
米饭	mi fan	822
动用	dong yong	822
亮度	liang du	822
过着	guo zhe	822
架子	jia zi	822
聚焦	ju jiao	822
群发	qun fa	822
之初	zhi chu	822
沉淀	chen dian	822
自制	zi zhi	822
菲律宾	fei lv bin	822
我老婆	wo lao po	822
旋	xuan	821
但你	dan ni	821
广电	guang dian	821
真空	zhen kong	821
谁来	shui lai	821
做一些	zuo yi xie	821
我想我	wo xiang wo	821
从业人员	cong ye ren yuan	821
午	wu	820
递交	di jiao	820
难点	nan dian	820
皇家	huang jia	820
晋级	jin ji	820
信件	xin jian	820
数千	shu qian	820
基督教	ji du jiao	820
也不可能	ye bu ke neng	820
刑	xing	819
边境	bian jing	819
批复	pi fu	819
打通	da tong	819
花儿	hua er	819
西装	xi zhuang	819
自发	zi fa	819
多一点	duo yi dian	819
那点	na dian	818
甘心	gan xin	818
之行	zhi xing	818
置于	zhi yu	818
耶稣	ye su	818
油脂	you zhi	818
主题曲	zhu ti qu	818
媒体报道	mei ti bao dao	818
担	dan	817
囊	nang	817
刚从	gang cong	817
几何	ji he	817
在校	zai xiao	817
污水	wu shui	817
就会有	jiu hui you	817
可以理解	ke yi li jie	817
粘	nian	816
贝贝	bei bei	816
平原	ping yuan	816
妨碍	fang ai	816
这帮	zhe bang	816
冲着	chong zhe	816
射手	she shou	816
野蛮	ye man	816
握手	wo shou	816
不错啊	bu cuo a	816
都不敢	dou bu gan	816
中学生	zhong xue sheng	816
很多事情	hen duo shi qing	816
这个东西	zhe ge dong xi	816
踏	ta	815
触	chu	815
通告	tong gao	815
倾听	qing ting	815
查出	cha chu	815
淑女	shu nv	815
所处	suo chu	815
隐形	yin xing	815
余地	yu di	815
心脏病	xin zang bing	815
退役	tui yi	814
开除	kai chu	814
欢喜	huan xi	814
降临	jiang lin	814
巨星	ju xing	814
县委	xian wei	814
超值	chao zhi	814
热衷	re zhong	814
也给	ye gei	814
挽回	wan hui	814
很好看	hen hao kan	814
上不去	shang bu qu	814
宾	bin	813
墓地	mu di	813
轮流	lun liu	813
开张	kai zhang	813
好比	hao bi	813
吉田	ji tian	813
讲的	jiang de	813
就读	jiu du	813
信托	xin tuo	813
周刊	zhou kan	813
畅通	chang tong	813
杂谈	za tan	813
参股	can gu	813
没事儿	mei shi er	813
营业部	ying ye bu	813
市委书记	shi wei shu ji	813
违法行为	wei fa xing wei	813
腔	qiang	812
悟	wu	812
比率	bi lv	812
面条	mian tiao	812
力求	li qiu	812
广发	guang fa	812
精细	jing xi	812
城堡	cheng bao	812
刷卡	shua ka	812
稍后	shao hou	812
要对	yao dui	812
阴阳	yin yang	812
利物浦	li wu pu	812
洗衣服	xi yi fu	812
一阵子	yi zhen zi	812
牢	lao	811
不由	bu you	811
譬如	pi ru	811
达标	da biao	811
大户	da hu	811
领悟	ling wu	811
话筒	hua tong	811
写到	xie dao	811
胸口	xiong kou	811
装上	zhuang shang	811
帅气	shuai qi	811
参见	can jian	811
此案	ci an	811
烟草	yan cao	811
一刀	yi dao	811
一齐	yi qi	811
有谁	you shui	811
有点像	you dian xiang	811
这部电影	zhe bu dian ying	811
帽	mao	810
聂	nie	810
密封	mi feng	810
但对	dan dui	810
流血	liu xue	810
固执	gu zhi	810
华南	hua nan	810
七个	qi ge	810
信访	xin fang	810
审理	shen li	810
实况	shi kuang	810
座椅	zuo yi	810
易于	yi yu	810
发言权	fa yan quan	810
肯德基	ken de ji	810
经济社会	jing ji she hui	810
典	dian	809
加个	jia ge	809
县级	xian ji	809
衔接	xian jie	809
写好	xie hao	809
正品	zheng pin	809
问卷	wen juan	809
奉	feng	808
保湿	bao shi	808
分管	fen guan	808
点球	dian qiu	808
同行	tong xing	808
口岸	kou an	808
苦苦	ku ku	808
海滩	hai tan	808
悬念	xuan nian	808
思绪	si xu	808
务实	wu shi	808
那么好	na me hao	808
生命力	sheng ming li	808
颠覆	dian fu	807
偷懒	tou lan	807
涂料	tu liao	807
拖鞋	tuo xie	807
难说	nan shuo	807
蜡烛	la zhu	807
姥姥	lao lao	807
利空	li kong	807
户籍	hu ji	807
减小	jian xiao	807
这支	zhe zhi	807
什么样子	shen me yang zi	807
频	pin	806
妃	fei	806
煎	jian	806
表妹	biao mei	806
复兴	fu xing	806
大树	da shu	806
哪来	na lai	806
国米	guo mi	806
客车	ke che	806
件事	jian shi	806
称赞	cheng zan	806
做些	zuo xie	806
预览	yu lan	806
外围	wai wei	806
共和国	gong he guo	806
生活费	sheng huo fei	806
卫生部	wei sheng bu	806
不忘	bu wang	805
空闲	kong xian	805
前沿	qian yan	805
展望	zhan wang	805
山顶	shan ding	805
历	li	804
昭	zhao	804
本色	ben se	804
偏差	pian cha	804
东盟	dong meng	804
连个	lian ge	804
两三	liang san	804
各家	ge jia	804
赫赫	he he	804
求购	qiu gou	804
副作用	fu zuo yong	804
躺着	tang zhe	803
溜达	liu da	803
及格	ji ge	803
想问	xiang wen	803
处境	chu jing	803
出游	chu you	803
脑子里	nao zi li	803
周恩来	zhou en lai	803
中国电信	zhong guo dian xin	803
补上	bu shang	802
基站	ji zhan	802
自负	zi fu	802
英镑	ying bang	802
第一章	di yi zhang	802
南京市	nan jing shi	802
去年同期	qu nian tong qi	802
拥	yong	801
本机	ben ji	801
跑车	pao che	801
多位	duo wei	801
狂热	kuang re	801
争吵	zheng chao	801
追问	zhui wen	801
啊啊	a a	801
很方便	hen fang bian	801
直升机	zhi sheng ji	801
有的是	you de shi	801
大力发展	da li fa zhan	801
巷	xiang	800
犹	you	800
变的	bian de	800
逮捕	dai bu	800
叹息	tan xi	800
昵称	ni cheng	800
老娘	lao niang	800
制备	zhi bei	800
谁是	shui shi	800
腰带	yao dai	800
每一位	mei yi wei	800
月中旬	yue zhong xun	800
希望能够	xi wang neng gou	800
怕怕	pa pa	799
票据	piao ju	799
返还	fan huan	799
牢牢	lao lao	799
老兄	lao xiong	799
联动	lian dong	799
更强	geng qiang	799
昏迷	hun mi	799
汉族	han zu	799
上行	shang xing	799
受众	shou zhong	799
议员	yi yuan	799
问答	wen da	799
无名	wu ming	799
段时间	duan shi jian	799
躲避	duo bi	798
桃子	tao zi	798
高明	gao ming	798
可疑	ke yi	798
界限	jie xian	798
申诉	shen su	798
写出来	xie chu lai	798
很多东西	hen duo dong xi	798
建立健全	jian li jian quan	798
弘	hong	797
颓废	tui fei	797
拿走	na zou	797
克隆	ke long	797
今生	jin sheng	797
时间长	shi jian chang	797
扛	kang	796
揭	jie	796
板凳	ban deng	796
拍下	pai xia	796
大把	da ba	796
大笑	da xiao	796
天亮	tian liang	796
追捧	zhui peng	796
唱的	chang de	796
沙龙	sha long	796
爱护	ai hu	796
本赛季	ben sai ji	796
试用期	shi yong qi	796
一点儿	yi dian er	796
准备工作	zhun bei gong zuo	796
裸	luo	795
单反	dan fan	795
其后	qi hou	795
亲手	qin shou	795
小鸟	xiao niao	795
自拍	zi pai	795
威海	wei hai	795
本论坛	ben lun tan	795
不是你	bu shi ni	795
柏	bai	794
账	zhang	794
民营	min ying	794
反驳	fan bo	794
饭菜	fan cai	794
大叫	da jiao	794
旅途	lv tu	794
课文	ke wen	794
日程	ri cheng	794
国有资产	guo you zi chan	794
霸	ba	793
悲惨	bei can	793
迫切	po qie	793
单机	dan ji	793
独有	du you	793
会场	hui chang	793
亲近	qin jin	793
治愈	zhi yu	793
少爷	shao ye	793
祖先	zu xian	793
四五	si wu	793
马英九	ma ying jiu	793
啵	bo	792
僧	seng	792
置业	zhi ye	792
英俊	ying jun	792
提供商	ti gong shang	792
保护条例	bao hu tiao li	792
摊	tan	791
负债	fu zhai	791
他有	ta you	791
刘备	liu bei	791
减弱	jian ruo	791
全集	quan ji	791
球星	qiu xing	791
城墙	cheng qiang	791
而被	er bei	791
大局	da ju	790
两件	liang jian	790
夏日	xia ri	790
要先	yao xian	790
一斤	yi jin	790
未予	wei yu	790
新陈代谢	xin chen dai xie	790
完全不同	wan quan bu tong	790
掐	qia	789
不等	bu deng	789
父子	fu zi	789
打发	da fa	789
打来	da lai	789
点钱	dian qian	789
定向	ding xiang	789
倘若	tang ruo	789
汉奸	han jian	789
新颖	xin ying	789
掌控	zhang kong	789
制服	zhi fu	789
生前	sheng qian	789
最先	zui xian	789
誉为	yu wei	789
至关重要	zhi guan zhong yao	789
突	tu	788
蓉	rong	788
匕首	bi shou	788
定点	ding dian	788
举起	ju qi	788
欠缺	qian que	788
情怀	qing huai	788
之争	zhi zheng	788
时钟	shi zhong	788
三层	san ceng	788
医保	yi bao	788
蕾	lei	787
美景	mei jing	787
没收	mo shou	787
概况	gai kuang	787
积蓄	ji xu	787
起飞	qi fei	787
起草	qi cao	787
朝着	chao zhe	787
出局	chu ju	787
自习	zi xi	787
移交	yi jiao	787
佣金	yong jin	787
大学毕业	da xue bi ye	787
彪	biao	786
觉	jiao	786
揍	zou	786
防线	fang xian	786
抵触	di chu	786
堆积	dui ji	786
对接	dui jie	786
就该	jiu gai	786
询价	xun jia	786
轴承	zhou cheng	786
要紧	yao jin	786
通讯员	tong xun yuan	786
是一部	shi yi bu	786
可能出现	ke neng chu xian	786
仅供参考	jin gong can kao	786
壹	yi	785
大体	da ti	785
画画	hua hua	785
近代	jin dai	785
之大	zhi da	785
字样	zi yang	785
围着	wei zhe	785
停下来	ting xia lai	785
是一名	shi yi ming	785
中国文化	zhong guo wen hua	785
毅	yi	784
疑	yi	784
猛烈	meng lie	784
放量	fang liang	784
两千	liang qian	784
合金	he jin	784
暑期	shu qi	784
岩石	yan shi	784
尤为	you wei	784
猥琐	wei suo	784
模拟器	mo ni qi	784
短消息	duan xiao xi	784
江西省	jiang xi sheng	784
一年的	yi nian de	784
罩	zhao	783
迷你	mi ni	783
附魔	fu mo	783
过往	guo wang	783
宽松	kuan song	783
火影	huo ying	783
就越	jiu yue	783
情色	qing se	783
顺手	shun shou	783
罪恶	zui e	783
第一家	di yi jia	783
可行性	ke xing xing	783
表决	biao jue	782
停下	ting xia	782
拓宽	tuo kuan	782
钢材	gang cai	782
细分	xi fen	782
短时间内	duan shi jian nei	782
淋	lin	781
拒	ju	781
明朗	ming lang	781
明朝	ming chao	781
法术	fa shu	781
夺取	duo qu	781
谈起	tan qi	781
特大	te da	781
来往	lai wang	781
共鸣	gong ming	781
共用	gong yong	781
好快	hao kuai	781
家教	jia jiao	781
接轨	jie gui	781
情愿	qing yuan	781
血腥	xue xing	781
洗完	xi wan	781
限定	xian ding	781
纸张	zhi zhang	781
主线	zhu xian	781
穿的	chuan de	781
纯净	chun jing	781
出示	chu shi	781
收钱	shou qian	781
自尊	zi zun	781
一棵	yi ke	781
瑜伽	yu jia	781
体现出	ti xian chu	781
零部件	ling bu jian	781
高品质	gao pin zhi	781
吉林省	ji lin sheng	781
中秋节	zhong qiu jie	781
发展战略	fa zhan zhan lue	781
小心翼翼	xiao xin yi yi	781
赠	zeng	780
迫使	po shi	780
风味	feng wei	780
点名	dian ming	780
拖着	tuo zhe	780
录用	lu yong	780
职称	zhi cheng	780
车内	che nei	780
随手	sui shou	780
元钱	yuan qian	780
一出	yi chu	780
有好	you hao	780
噩梦	e meng	780
市场价格	shi chang jia ge	780
面具	mian ju	779
低估	di gu	779
台服	tai fu	779
缓冲	huan chong	779
心声	xin sheng	779
丑陋	chou lou	779
优越	you yue	779
警	jing	778
逐	zhu	778
发光	fa guang	778
发错	fa cuo	778
宣告	xuan gao	778
血压	xue ya	778
总能	zong neng	778
第一条	di yi tiao	778
最大化	zui da hua	778
医学院	yi xue yuan	778
痕	hen	777
费劲	fei jin	777
搭档	da dang	777
可悲	ke bei	777
急救	ji jiu	777
手持	shou chi	777
屋企	wu qi	777
这个地方	zhe ge di fang	777
统	tong	776
歇	xie	776
名誉	ming yu	776
唐山	tang shan	776
曲折	qu zhe	776
质感	zhi gan	776
穿了	chuan le	776
圆形	yuan xing	776
用电	yong dian	776
最快的	zui kuai de	776
大家一起	da jia yi qi	776
从根本上	cong gen ben shang	776
钩	gou	775
迁	qian	775
打我	da wo	775
到场	dao chang	775
跳跃	tiao yue	775
你可	ni ke	775
绿茶	lv cha	775
开销	kai xiao	775
检讨	jian tao	775
平方公里	ping fang gong li	775
人际关系	ren ji guan xi	775
放学	fang xue	774
劳务	lao wu	774
好梦	hao meng	774
去吃	qu chi	774
想找	xiang zhao	774
租用	zu yong	774
测评	ce ping	774
俄国	e guo	774
听不到	ting bu dao	774
就像是	jiu xiang shi	774
绝对不会	jue dui bu hui	774
垂	chui	773
凡事	fan shi	773
农机	nong ji	773
快到	kuai dao	773
沉浸	chen jin	773
夜色	ye se	773
油田	you tian	773
文笔	wen bi	773
牛仔裤	niu zai ku	773
高性能	gao xing neng	773
分辨	fen bian	772
落叶	luo ye	772
皇冠	huang guan	772
学好	xue hao	772
绽放	zhan fang	772
中去	zhong qu	772
绳子	sheng zi	772
淫荡	yin dang	772
张艺谋	zhang yi mou	772
成年人	cheng nian ren	772
意识形态	yi shi xing tai	772
有多少人	you duo shao ren	772
报送	bao song	771
每每	mei mei	771
但要	dan yao	771
雕塑	diao su	771
太不	tai bu	771
太难	tai nan	771
老王	lao wang	771
六大	liu da	771
该机	gai ji	771
客运	ke yun	771
后门	hou men	771
畸形	ji xing	771
前行	qian xing	771
这笔	zhe bi	771
严密	yan mi	771
爱他	ai ta	771
通知书	tong zhi shu	771
张国荣	zhang guo rong	771
用户提供	yong hu ti gong	771
扮	ban	770
帮她	bang ta	770
明珠	ming zhu	770
大话	da hua	770
国情	guo qing	770
膝盖	xi gai	770
知己	zhi ji	770
逐年	zhu nian	770
彩铃	cai ling	770
与你	yu ni	770
我听	wo ting	770
周星驰	zhou xing chi	770
一下吧	yi xia ba	770
美国政府	mei guo zheng fu	770
廷	ting	769
祸	huo	769
魔力	mo li	769
打仗	da zhang	769
脸红	lian hong	769
路子	lu zi	769
怪异	guai yi	769
高山	gao shan	769
给点	gei dian	769
行长	hang zhang	769
回调	hui tiao	769
省内	sheng nei	769
三百	san bai	769
索性	suo xing	769
伪装	wei zhuang	769
新东方	xin dong fang	769
武汉市	wu han shi	769
龙头企业	long tou qi ye	769
证券市场	zheng quan shi chang	769
生产能力	sheng chan neng li	769
裂	lie	768
淑	shu	768
渝	yu	768
跌破	die po	768
停产	ting chan	768
立项	li xiang	768
货运	huo yun	768
加分	jia fen	768
占到	zhan dao	768
政府采购	zheng fu cai gou	768
涅	nie	767
昆	kun	767
颈	jing	767
民意	min yi	767
这批	zhe pi	767
超标	chao biao	767
首付	shou fu	767
在京	zai jing	767
一则	yi ze	767
现阶段	xian jie duan	767
自己做	zi ji zuo	767
尸	shi	766
喻	yu	766
抗战	kang zhan	766
雪花	xue hua	766
如图	ru tu	766
研讨	yan tao	766
无缘	wu yuan	766
销售人员	xiao shou ren yuan	766
嘞	lei	765
忆	yi	765
并没	bing mei	765
打入	da ru	765
奶妈	nai ma	765
牛牛	niu niu	765
侵略	qin lue	765
倾诉	qing su	765
小车	xiao che	765
又一	you yi	765
唔知	wu zhi	765
体育馆	ti yu guan	765
这种事	zhe zhong shi	765
吃东西	chi dong xi	765
一步步	yi bu bu	765
政协委员	zheng xie wei yuan	765
朕	zhen	764
尺	chi	764
比他	bi ta	764
刊物	kan wu	764
好慢	hao man	764
活在	huo zai	764
牵头	qian tou	764
县长	xian zhang	764
梳理	shu li	764
在看	zai kan	764
往后	wang hou	764
为首	wei shou	764
只剩	zhi sheng	763
承接	cheng jie	763
可以吗	ke yi ma	763
才开始	cai kai shi	763
工作会议	gong zuo hui yi	763
一件事情	yi jian shi qing	763
惯	guan	762
氧	yang	762
陆军	lu jun	762
光环	guang huan	762
高涨	gao zhang	762
简易	jian yi	762
仅供	jin gong	762
支队	zhi dui	762
圣经	sheng jing	762
丝袜	si wa	762
外加	wai jia	762
但对于	dan dui yu	762
洛杉矶	luo shan ji	762
可以得到	ke yi de dao	762
境	jing	761
仕	shi	761
木材	mu cai	761
太强	tai qiang	761
女方	nv fang	761
仓位	cang wei	761
有理	you li	761
爱她	ai ta	761
所有权	suo you quan	761
大力支持	da li zhi chi	761
国内市场	guo nei shi chang	761
百货	bai huo	760
明智	ming zhi	760
果断	guo duan	760
沮丧	ju sang	760
亲属	qin shu	760
青山	qing shan	760
荣幸	rong xing	760
越发	yue fa	760
公安部	gong an bu	760
西红柿	xi hong shi	760
保卫	bao wei	759
构思	gou si	759
患有	huan you	759
航母	hang mu	759
较差	jiao cha	759
情趣	qing qu	759
主帅	zhu shuai	759
崇高	chong gao	759
忍心	ren xin	759
萨满	sa man	759
月薪	yue xin	759
又没	you mei	759
工商局	gong shang ju	759
看一看	kan yi kan	759
主要内容	zhu yao nei rong	759
医疗机构	yi liao ji gou	759
棍	gun	758
不符	bu fu	758
富贵	fu gui	758
大都	da dou	758
单挑	dan tiao	758
推理	tui li	758
购置	gou zhi	758
过错	guo cuo	758
江山	jiang shan	758
将为	jiang wei	758
清朝	qing chao	758
狭窄	xia zhai	758
小牛	xiao niu	758
商会	shang hui	758
升起	sheng qi	758
首家	shou jia	758
走开	zou kai	758
原地	yuan di	758
工作日	gong zuo ri	758
还会有	hai hui you	758
竞技场	jing ji chang	758
奥斯卡	ao si ka	758
注意事项	zhu yi shi xiang	758
生产经营	sheng chan jing ying	758
巴士	ba shi	757
表哥	biao ge	757
倒下	dao xia	757
通胀	tong zhang	757
你所	ni suo	757
光彩	guang cai	757
海底	hai di	757
下单	xia dan	757
闲置	xian zhi	757
处分	chu fen	757
责令	ze ling	757
野生	ye sheng	757
律	lv	756
不限	bu xian	756
灯下	deng xia	756
电阻	dian zu	756
构筑	gou zhu	756
建仓	jian cang	756
装扮	zhuang ban	756
厨师	chu shi	756
司马	si ma	756
呕吐	ou tu	756
恰	qia	755
发酵	fa jiao	755
监察	jian cha	755
成像	cheng xiang	755
淹没	yan mo	755
甚至连	shen zhi lian	755
一篇文章	yi pian wen zhang	755
东路	dong lu	754
姑姑	gu gu	754
几岁	ji sui	754
经贸	jing mao	754
穿梭	chuan suo	754
三项	san xiang	754
一晚	yi wan	754
樱花	ying hua	754
我心	wo xin	754
这三个	zhe san ge	754
载入中	zai ru zhong	754
有效期	you xiao qi	754
惜	xi	753
斋	zhai	753
抛出	pao chu	753
转贴	zhuan tie	753
着呢	zhe ne	753
稍有	shao you	753
深渊	shen yuan	753
四人	si ren	753
这个城市	zhe ge cheng shi	753
坪	ping	752
浦	pu	752
姆	mu	752
束	shu	752
美学	mei xue	752
列举	lie ju	752
供货	gong huo	752
核准	he zhun	752
建国	jian guo	752
初衷	chu zhong	752
看清楚	kan qing chu	752
稀	xi	751
归属	gui shu	751
花卉	hua hui	751
花心	hua xin	751
换上	huan shang	751
还需	hai xu	751
举例	ju li	751
之战	zhi zhan	751
身价	shen jia	751
是说	shi shuo	751
日历	ri li	751
规范化	gui fan hua	751
针对性	zhen dui xing	751
保重	bao zhong	750
冰雪	bing xue	750
法宝	fa bao	750
单调	dan diao	750
投降	tou xiang	750
女足	nv zu	750
回城	hui cheng	750
嫦娥	chang e	750
我可	wo ke	750
是假的	shi jia de	750
越来越少	yue lai yue shao	750
六点	liu dian	749
跨国	kua guo	749
直达	zhi da	749
上诉	shang su	749
稍稍	shao shao	749
厌倦	yan juan	749
饮水	yin shui	749
发展方向	fa zhan fang xiang	749
拓	tuo	748
颁奖	ban jiang	748
飘飘	piao piao	748
戴上	dai shang	748
赶来	gan lai	748
规避	gui bi	748
假日	jia ri	748
坚守	jian shou	748
上衣	shang yi	748
深沉	shen chen	748
热血	re xue	748
人情	ren qing	748
不负责任	bu fu ze ren	748
传统文化	chuan tong wen hua	748
乌鲁木齐	wu lu mu qi	748
泡妞	pao niu	747
断裂	duan lie	747
当当	dang dang	747
突击	tu ji	747
奶牛	nai niu	747
概述	gai shu	747
各界	ge jie	747
公证	gong zheng	747
可选	ke xuan	747
接听	jie ting	747
毅力	yi li	747
硬币	ying bi	747
弯曲	wan qu	747
半导体	ban dao ti	747
郭德纲	guo de gang	747
